id,topic,category,keywords,adviceText,importance
skill-java,Java,technical,java|core java|j2ee|java 8|java 11,Master Core Java concepts including Streams API and Concurrency. Build projects using Spring Boot. Note: Core Java mastery confirms Java competency.,High
skill-python,Python,technical,python|python3|django|flask,Practice Python scripting and data structures. Build web apps with Django or Flask.,High
skill-c,C,technical,c|c language|embedded c,Focus on pointers and memory management. Understand low-level system interactions.,High
skill-cpp,C++,technical,c++|cpp|stl,Master OOP concepts in C++ and the Standard Template Library (STL).,High
skill-csharp,C#,technical,c#|csharp|.net,Learn .NET ecosystem and standard libraries. Build Windows or Web apps.,High
skill-javascript,JavaScript,technical,javascript|js|es6|es2015,Master ES6+ features, closures, and async programming (Promises, Async/Await).,High
skill-typescript,TypeScript,technical,typescript|ts,Learn static typing and interfaces. Migrate a small JS project to TS.,High
skill-kotlin,Kotlin,technical,kotlin|android,Learn Kotlin syntax and Coroutines. Excellent for modern Android development.,High
skill-swift,Swift,technical,swift|ios,Master Swift syntax and iOS SDK. Build a simple iOS application.,High
skill-go,Go,technical,go|golang,Focus on concurrency (Goroutines) and building performant backend services.,High
skill-rust,Rust,technical,rust|rustlang,Understand ownership and borrowing concepts. Great for systems programming.,High
skill-php,PHP,technical,php|laravel,Learn modern PHP 8+ features and a framework like Laravel or Symfony.,High
skill-ruby,Ruby,technical,ruby|rails,Learn Ruby syntax and Ruby on Rails framework for rapid web development.,High
skill-scala,Scala,technical,scala|akka|spark,Master functional programming concepts and Akka for concurrency.,High
skill-r,R,technical,r|r language|statistics,Focus on statistical analysis and data visualization packages like ggplot2.,High
skill-matlab,MATLAB,technical,matlab,Useful for numerical computing and algorithm development in engineering.,High
skill-dart,Dart,technical,dart|flutter,Learn Dart for building cross-platform mobile apps with Flutter.,High
skill-perl,Perl,technical,perl|scripting,Useful for legacy system maintenance and text processing scripts.,High
skill-groovy,Groovy,technical,groovy|jenkins pipeline,Often used in Jenkins pipelines and Gradle scripts.,High
skill-objective-c,Objective-C,technical,objective-c|objective c,Legacy iOS development. Useful for maintaining older codebases.,High
skill-data-structures,Data Structures,technical,data structures|dsa|hashing|trees|graphs,Master Arrays, Linked Lists, Trees, and Graphs. Practice on LeetCode/HackerRank. Note: DSA or Algorithms proficiency proves Data Structures knowledge.,High
skill-algorithms,Algorithms,technical,algorithms|sorting|searching|dsa,Understand complexity (Big O) and master sorting/searching algorithms. Note: DSA or Data Structures proficiency proves Algorithms knowledge.,High
skill-oop,Object Oriented Programming,technical,oop|oops|object oriented|object-oriented|object-oriented programming|classes|inheritance,Master Encapsulation, Inheritance, Polymorphism, and Abstraction. Note: OOPS and Object-Oriented Programming are equivalent.,High
skill-functional-programming,Functional Programming,technical,functional programming|lambda|pure functions,Learn immutability and pure functions. useful for modern JS/Java streams.,High
skill-procedural-programming,Procedural Programming,technical,procedural programming,Understand modular code structure and function-based design.,High
skill-design-patterns,Design Patterns,technical,design patterns|singleton|factory|observer,Learn Singleton, Factory, and Observer patterns to write maintainable code.,High
skill-multithreading,Multithreading,technical,multithreading|concurrency|threads,Understand thread lifecycles and synchronization. Critical for performance.,High
skill-concurrency,Concurrency,technical,concurrency|parallel processing,Learn to manage concurrent tasks efficiently without deadlocks.,High
skill-memory-management,Memory Management,technical,memory management|garbage collection,Understand heap vs stack and how your language handles memory.,High
skill-exception-handling,Exception Handling,technical,exception handling|try catch,Write robust code by handling errors gracefully using try-catch blocks.,High
skill-collections,Collections,technical,collections|list|map|set,Master your language's collection framework (e.g., Java Collections).,High
skill-generics,Generics,technical,generics|templates,Use generics for type safety and code reusability.,High
skill-recursion,Recursion,technical,recursion|recursive,Understand base cases and stack usage. Solve tree/graph problems.,High
skill-bit-manipulation,Bit Manipulation,technical,bit manipulation|bitwise,Useful for optimization and low-level programming challenges.,High
skill-graph-theory,Graph Theory,technical,graph theory|dfs|bfs|shortest path,Master BFS, DFS, and Dijkstra algorithms.,High
skill-dynamic-programming,Dynamic Programming,technical,dynamic programming|dp,Solve complex problems by breaking them down. Practice classic DP problems.,High
skill-greedy-algorithms,Greedy Algorithms,technical,greedy|local optimization,Learn when to apply greedy strategies for optimization problems.,High
skill-backtracking,Backtracking,technical,backtracking,Solve constraint satisfaction problems like Sudoku or N-Queens.,High
skill-sorting-algorithms,Sorting Algorithms,technical,sorting|quicksort|mergesort,Understand implementation of QuickSort and MergeSort.,High
skill-searching-algorithms,Searching Algorithms,technical,searching|binary search,Master Binary Search for efficient data retrieval.,High
skill-rest-apis,REST APIs,technical,rest|restful|rest api,Understand HTTP methods, status codes, and stateless architecture. Note: RESTful API development or endpoint usage confirms REST API mastery.,High
skill-api-design,API Design,technical,api design|swagger|openapi|restful apis,Follow best practices for consistent and scalable API endpoints. Note: REST API or API Development proficiency validates API Design skills.,High
skill-api-security,API Security,technical,api security|oauth2|jwt,Secure APIs using OAuth2, JWT, and proper authentication flows.,High
skill-authentication,Authentication,technical,authentication|login|auth,Implement secure user login and identity management.,High
skill-authorization,Authorization,technical,authorization|rbac|roles,Manage user permissions and role-based access control (RBAC).,High
skill-jwt,JWT,technical,jwt|json web token,Understand token-based stateless authentication.,High
skill-oauth,OAuth,technical,oauth|oauth2,Implement social login and third-party delegation.,High
skill-crud-operations,CRUD Operations,technical,crud|create read update delete,Master the basics of database interaction (Create, Read, Update, Delete).,High
skill-backend-development,Backend Development,technical,backend|server side|spring boot|java backend|microservices,Build robust server-side logic and connect to databases. Note: Spring Boot or Microservices proficiency confirms Backend Development mastery.,High
skill-frontend-basics,Frontend Basics,technical,frontend|html css js,Understand how the frontend consumes your backend APIs.,High
skill-database-management,Database Management,technical,database|dbms|rdbms|sql|relational db|mysql,Learn schema design and efficient data storage strategies. Note: MySQL or SQL proficiency proves Database Management mastery.,High
skill-sql,SQL,technical,sql|structured query language|mysql|postgresql,Master SELECT, JOINs, and indexing for relational databases. Note: MySQL or PostgreSQL proficiency proves SQL mastery.,High
skill-nosql,NoSQL,technical,nosql|mongodb|cassandra,Understand document and key-value stores for unstructured data.,High
skill-query-optimization,Query Optimization,technical,query optimization|performance tuning,Speed up database queries using indexes and execution plans.,High
skill-indexing,Indexing,technical,indexing|database index,Learn how indexes work to improve read performance.,High
skill-normalization,Normalization,technical,normalization|3nf,Design efficient database schemas to reduce redundancy.,High
skill-transactions,Transactions,technical,transactions|commit|rollback,Ensure data integrity with ACID-compliant transactions.,High
skill-acid-principles,ACID Principles,technical,acid|atomicity,Understand reliability properties of database transactions.,High
skill-cap-theorem,CAP Theorem,technical,cap theorem|consistency availability partition,Understand trade-offs in distributed system design.,High
skill-spring,Spring,technical,spring|spring framework|spring boot|spring mvc,Master Dependency Injection (BoC) and Spring Modules. Note: Spring Boot or Spring MVC proficiency confirms Spring Framework mastery.,Medium
skill-spring-boot,Spring Boot,technical,spring boot|springboot,Build production-ready apps with auto-configuration and embedded servers.,Medium
skill-spring-mvc,Spring MVC,technical,spring mvc|model view controller,Build web applications using the MVC pattern.,Medium
skill-spring-security,Spring Security,technical,spring security,Secure your Spring applications with authentication and authorization.,Medium
skill-spring-data-jpa,Spring Data JPA,technical,spring data|jpa,Simplify database access with repository interfaces.,Medium
skill-hibernate,Hibernate,technical,hibernate|orm|jpa,Master Object-Relational Mapping (ORM) concepts. Note: JPA or ORM proficiency proves Hibernate mastery.,Medium
skill-jpa,JPA,technical,jpa|java persistence api|hibernate,Understand standard Java persistence specifications. Note: Hibernate or ORM proficiency proves JPA mastery.,Medium
skill-mybatis,MyBatis,technical,mybatis,Use MyBatis for greater control over SQL queries.,Medium
skill-nodejs,Node.js,technical,node.js|nodejs|node,Build scalable network applications with event-driven architecture.,Medium
skill-expressjs,Express.js,technical,express.js|expressjs,Build web servers quickly with this minimal Node.js framework.,Medium
skill-nestjs,NestJS,technical,nestjs|nest.js,Build efficient, scalable Node.js server-side applications.,Medium
skill-django,Django,technical,django|python web,Build secure and scalable web apps with Python using Django.,Medium
skill-flask,Flask,technical,flask,Great micro-framework for Python web development.,Medium
skill-fastapi,FastAPI,technical,fastapi,Build high-performance APIs with Python and auto-documentation.,Medium
skill-aspnet,ASP.NET,technical,asp.net|.net web,Build modern web apps using the .NET platform.,Medium
skill-net-core,.NET Core,technical,.net core|dotnet core,Build cross-platform applications with .NET Core.,Medium
skill-laravel,Laravel,technical,laravel|php framework,Build elegant PHP applications with Laravel.,Medium
skill-symfony,Symfony,technical,symfony,Use reusable PHP components for web projects.,Medium
skill-ruby-on-rails,Ruby on Rails,technical,rails|ruby framework,Build full-stack apps quickly with Rails conventions.,Medium
skill-html,HTML,technical,html|html5|frontend basics|frontend development|ui development|web development,Master semantic HTML5 for accessible web pages. Note: Web Development certifications or frontend basics confirm HTML skills.,Medium
skill-css,CSS,technical,css|css3|flexbox|grid|frontend basics|frontend development|ui development|web development,Learn Flexbox and Grid for responsive layouts. Note: Web Development certifications or frontend basics confirm CSS skills.,Medium
skill-sass,Sass,technical,sass|scss,Write maintainable CSS with variables and nesting.,Medium
skill-bootstrap,Bootstrap,technical,bootstrap,Rapidly prototype responsive sites.,Medium
skill-tailwind-css,Tailwind CSS,technical,tailwind|utility css,Build modern designs fast with utility-first CSS.,Medium
skill-javascript-dom,JavaScript DOM,technical,dom manipulation,Understand the document object model for dynamic pages.,Medium
skill-react,React,technical,react|reactjs|react.js,Master components, hooks, and state management.,Medium
skill-redux,Redux,technical,redux|state management,Manage complex application state predictably.,Medium
skill-angular,Angular,technical,angular|typescript web,Build enterprise-grade single page applications.,Medium
skill-vuejs,Vue.js,technical,vue|vuejs,Build interactive UIs with the progressive Vue frameowrk.,Medium
skill-nextjs,Next.js,technical,next.js|nextjs|ssr,Build server-rendered React applications for SEO.,Medium
skill-nuxtjs,Nuxt.js,technical,nuxt.js|nuxtjs,Build server-rendered Vue applications.,Medium
skill-svelte,Svelte,technical,svelte,Compile components to highly efficient imperative code.,Medium
skill-jquery,jQuery,technical,jquery,Legacy DOM manipulation (still useful for maintenance).,Medium
skill-android,Android,technical,android|mobile app,Build native Android applications.,Medium
skill-android-studio,Android Studio,technical,android studio,Master the official IDE for Android development.,Medium
skill-kotlin-android,Kotlin Android,technical,kotlin android,Use modern Kotlin features for Android apps.,Medium
skill-jetpack-compose,Jetpack Compose,technical,jetpack compose|compose,Build modern native UI on Android declaratively.,Medium
skill-ios,iOS,technical,ios|iphone dev,Build native applications for Apple devices.,Medium
skill-swiftui,SwiftUI,technical,swiftui,Build user interfaces across Apple platforms declaratively.,Medium
skill-xcode,Xcode,technical,xcode,Master the IDE for macOS and iOS development.,Medium
skill-flutter,Flutter,technical,flutter|dart mobile,Build cross-platform native apps from a single codebase.,Medium
skill-react-native,React Native,technical,react native|rn,Build mobile apps using React and JavaScript.,Medium
skill-git,Git,technical,git|version control|github|gitlab|bitbucket,Master branching, merging, and rebasing workflows. Note: GitHub or GitLab usage confirms Git mastery.,Medium
skill-github,GitHub,technical,github|git repository,Collaborate using Pull Requests and Issues.,Medium
skill-gitlab,GitLab,technical,gitlab|ci/cd,Manage source code and CI/CD pipelines.,Medium
skill-bitbucket,Bitbucket,technical,bitbucket,Use Bitbucket for enterprise code management.,Medium
skill-version-control,Version Control,technical,vcs|source control|git|github|gitlab|bitbucket,Track changes and collaborate effectively. Note: Git or GitHub proficiency confirms Version Control mastery.,Medium
skill-branching-strategy,Branching Strategy,technical,git flow|trunk based,Adopt Git Flow or Trunk Based Development.,Medium
skill-pull-requests,Pull Requests,technical,pr|code review,Review code effectively to maintain quality.,Medium
skill-code-review,Code Review,technical,code review|peer review,Provide constructive feedback on peer code.,Medium
skill-mysql,MySQL,technical,mysql|mariadb|sql|msql,Manage relational data with the most popular open-source DB. Note: SQL proficiency strongly confirms MySQL competence.,Medium
skill-postgresql,PostgreSQL,technical,postgresql|postgres|sql,Use advanced SQL features and JSON support in Postgres. Note: SQL proficiency strongly confirms PostgreSQL competence.,Medium
skill-sqlite,SQLite,technical,sqlite,Use for local storage and lightweight applications.,Medium
skill-oracle-database,Oracle Database,technical,oracle db|pl/sql,Manage enterprise-grade relational databases.,Medium
skill-mongodb,MongoDB,technical,mongodb|nosql,Store unstructured data in JSON-like documents.,Medium
skill-redis,Redis,technical,redis|caching,Use for caching and real-time messaging.,Medium
skill-cassandra,Cassandra,technical,cassandra,Handle massive amounts of data across many servers.,Medium
skill-dynamodb,DynamoDB,technical,dynamodb|aws db,Use fully managed NoSQL database on AWS.,Medium
skill-firebase,Firebase,technical,firebase|cloud firestore,Build apps fast with backend-as-a-service.,Medium
skill-elasticsearch,Elasticsearch,technical,elasticsearch|search engine,Implement full-text search and analytics.,Medium
skill-neo4j,Neo4j,technical,neo4j|graph db,Store and query connected data relationships.,Medium
skill-aws,AWS,technical,aws|amazon web services,Master EC2, S3, and RDS for cloud deployment.,Medium
skill-ec2,EC2,technical,ec2|virtual machines,Launch and manage virtual servers on AWS.,Medium
skill-s3,S3,technical,s3|object storage,Store and retrieve files in the cloud.,Medium
skill-rds,RDS,technical,rds|relational database service,Manage relational databases on AWS.,Medium
skill-lambda,Lambda,technical,lambda|serverless,Run code without provisioning servers.,Medium
skill-api-gateway,API Gateway,technical,api gateway,Create and manage APIs at scale.,Medium
skill-cloudwatch,CloudWatch,technical,cloudwatch|monitoring,Monitor your AWS resources and applications.,Medium
skill-azure,Azure,technical,azure|microsoft cloud,Build and deploy apps on Microsoft Azure.,Medium
skill-azure-devops,Azure DevOps,technical,azure devops|pipelines,Manage agile projects and CI/CD on Azure.,Medium
skill-google-cloud,Google Cloud,technical,gcp|google cloud platform,Leverage Google's infrastructure for your apps.,Medium
skill-gcp-compute-engine,GCP Compute Engine,technical,compute engine,Run virtual machines on GCP.,Medium
skill-cloud-functions,Cloud Functions,technical,cloud functions|gcp functions,Run serverless functions on GCP.,Medium
skill-docker,Docker,technical,docker|containerization,Containerize applications for consistent environments.,Medium
skill-docker-compose,Docker Compose,technical,docker compose,Define and run multi-container applications.,Medium
skill-kubernetes,Kubernetes,technical,k8s|kubernetes|container orchestration,Orchestrate container deployment at scale.,Medium
skill-helm,Helm,technical,helm|k8s package manager,Manage Kubernetes applications with charts.,Medium
skill-ci-cd,CI/CD,technical,ci/cd|continuous integration,Automate testing and deployment pipelines.,Medium
skill-jenkins,Jenkins,technical,jenkins|automation server,Build and deploy applications via Jenkins pipelines.,Medium
skill-github-actions,GitHub Actions,technical,github actions|workflow,Automate workflows directly in GitHub.,Medium
skill-gitlab-ci,GitLab CI,technical,gitlab ci|pipeline,Integrate CI/CD within GitLab repositories.,Medium
skill-terraform,Terraform,technical,terraform|iac,Manage infrastructure as code (IaC).,Medium
skill-ansible,Ansible,technical,ansible|config management,Automate configuration management.,Medium
skill-linux,Linux,technical,linux|unix,Master command line and shell scripting.,Medium
skill-shell-scripting,Shell Scripting,technical,shell|bash script,Automate tasks using Bash or Zsh.,Medium
skill-bash,Bash,technical,bash,Understand the default shell for most Linux distros.,Medium
skill-powershell,PowerShell,technical,powershell,Automate tasks on Windows and cross-platform.,Medium
skill-microservices,Microservices,technical,microservices|distributed systems,Design scalable distributed systems.,Medium
skill-monolithic-architecture,Monolithic Architecture,technical,monolith,Understand the pros and cons vs microservices.,Medium
skill-event-driven-architecture,Event Driven Architecture,technical,event driven|eda,Build responsive systems based on events.,Medium
skill-message-queues,Message Queues,technical,message queue|mq,Decouple services using async messaging.,Medium
skill-kafka,Kafka,technical,kafka|event streaming,Handle real-time data feeds at scale.,Medium
skill-rabbitmq,RabbitMQ,technical,rabbitmq,Implement reliable message brokering.,Medium
skill-activemq,ActiveMQ,technical,activemq,Use for enterprise messaging patterns.,Medium
skill-rest-architecture,REST Architecture,technical,rest arch,Design APIs using REST principles.,Medium
skill-graphql,GraphQL,technical,graphql,Query exact data requirements with GraphQL.,Medium
skill-grpc,gRPC,technical,grpc|protobuf,High-performance RPC framework for microservices.,Medium
skill-testing,Testing,technical,testing|qa|unit testing|integration testing,Ensure code quality with unit and integration tests. Note: API testing (Postman) or manual testing confirms basic Testing awareness.,Medium
skill-junit,JUnit,technical,junit|java testing,Write unit tests for Java applications.,Medium
skill-mockito,Mockito,technical,mockito|mocking,Mock dependencies in unit tests.,Medium
skill-testng,TestNG,technical,testng,Advanced testing framework for Java.,Medium
skill-selenium,Selenium,technical,selenium|browser automation,Automate web browser interaction for testing.,Medium
skill-cypress,Cypress,technical,cypress|e2e testing,Fast end-to-end testing for modern web apps.,Medium
skill-playwright,Playwright,technical,playwright,Reliable end-to-end testing for modern web apps.,Medium
skill-postman,Postman,technical,postman|api testing|rest apis|backend testing,Test and document APIs effectively. Note: API Testing or REST API proficiency confirms Postman usage.,Medium
skill-swagger,Swagger,technical,swagger|api docs,Document APIs using OpenAPI specifications.,Medium
skill-openapi,OpenAPI,technical,openapi,Standardize API documentation.,Medium
skill-machine-learning,Machine Learning,technical,ml|machine learning,Understand regression, classification, and clustering.,High
skill-deep-learning,Deep Learning,technical,dl|neural networks,Build neural networks for complex patterns.,High
skill-artificial-intelligence,Artificial Intelligence,technical,ai|artificial intelligence,Understand AI concepts and agents.,High
skill-natural-language-processing,Natural Language Processing,technical,nlp|text processing,Analyze and synthesize human language.,High
skill-computer-vision,Computer Vision,technical,computer vision|image processing,Teach computers to "see" and interpret images.,High
skill-reinforcement-learning,Reinforcement Learning,technical,rl|reinforcement learning,Train agents via rewards and penalties.,High
skill-supervised-learning,Supervised Learning,technical,supervised learning,Train models with labeled data.,High
skill-unsupervised-learning,Unsupervised Learning,technical,unsupervised learning,Find patterns in unlabeled data.,High
skill-feature-engineering,Feature Engineering,technical,feature engineering,Transform raw data into meaningful features.,High
skill-model-evaluation,Model Evaluation,technical,model evaluation|metrics,Measure model performance (Accuracy, Precision, Recall).,High
skill-tensorflow,TensorFlow,technical,tensorflow|tf,Build ML models using Google's framework.,Medium
skill-pytorch,PyTorch,technical,pytorch|torch,Build dynamic neural networks (popular in research).,Medium
skill-scikit-learn,Scikit-learn,technical,scikit-learn|sklearn,Use for classical ML algorithms in Python.,Medium
skill-pandas,Pandas,technical,pandas|dataframe,Manipulate and analyze structured data.,Medium
skill-numpy,NumPy,technical,numpy|numerical python,Perform efficient numerical computations.,Medium
skill-matplotlib,Matplotlib,technical,matplotlib|plotting,Create static, animated, and interactive visualizations.,Medium
skill-seaborn,Seaborn,technical,seaborn,Create statistical graphics on top of Matplotlib.,Medium
skill-opencv,OpenCV,technical,opencv|computer vision lib,Process images and video streams.,Medium
skill-nltk,NLTK,technical,nltk|text analysis,Process human language data.,Medium
skill-spacy,SpaCy,technical,spacy|nlp lib,Industrial-strength NLP in Python.,Medium
skill-hugging-face,Hugging Face,technical,hugging face|transformers,Use pre-trained models for NLP (Transformers).,Medium
skill-data-analysis,Data Analysis,technical,data analysis|analytics,Extract insights from raw data.,High
skill-data-cleaning,Data Cleaning,technical,data cleaning|preprocessing,Prepare data for analysis by fixing errors.,High
skill-data-visualization,Data Visualization,technical,data visualization|viz,Present data insights graphically.,High
skill-statistics,Statistics,technical,statistics|stats,Understand distributions, hypothesis testing, and variance.,High
skill-probability,Probability,technical,probability,Understand random events and likelihoods.,High
skill-linear-algebra,Linear Algebra,technical,linear algebra|matrices,Understand vectors and matrices (crucial for ML).,High
skill-time-series-analysis,Time Series Analysis,technical,time series|forecasting,Analyze data points indexed in time order.,High
skill-big-data,Big Data,technical,big data|hadoop|spark,Process large datasets that don't fit in memory.,High
skill-excel,Excel,technical,excel|spreadsheet,Master pivot tables and lookups.,Medium
skill-advanced-excel,Advanced Excel,technical,advanced excel|macros|vba,Automate tasks and complex analysis in Excel.,Medium
skill-power-bi,Power BI,technical,power bi|business intelligence,Create interactive dashboards.,Medium
skill-tableau,Tableau,technical,tableau|viz tool,Visualize data for business intelligence.,Medium
skill-looker,Looker,technical,looker,Explore and visualize data (Google Cloud).,Medium
skill-google-data-studio,Google Data Studio,technical,data studio|looker studio,Create free reports and dashboards.,Medium
skill-apache-spark,Apache Spark,technical,spark|data processing,Unified analytics engine for big data.,Medium
skill-hadoop,Hadoop,technical,hadoop|hdfs,Distributed storage and processing framework.,Medium
skill-hive,Hive,technical,hive|data warehouse,Query large datasets stored in Hadoop.,Medium
skill-pig,Pig,technical,pig|data flow,Scripting platform for processing Hadoop data.,Medium
skill-cybersecurity,Cybersecurity,technical,cybersecurity|infosec,Protect systems and networks from attacks.,High
skill-network-security,Network Security,technical,network security,Secure network infrastructure.,High
skill-ethical-hacking,Ethical Hacking,technical,ethical hacking|white hat,Identify vulnerabilities to fix them.,High
skill-penetration-testing,Penetration Testing,technical,penetration testing|pen testing,Simulate attacks to find weaknesses.,High
skill-cryptography,Cryptography,technical,cryptography|encryption,Secure communication with encryption.,High
skill-risk-assessment,Risk Assessment,technical,risk assessment|risk management,Identify and evaluate potential risks.,High
skill-vulnerability-analysis,Vulnerability Analysis,technical,vulnerability analysis,Scan and analyze system weaknesses.,High
skill-kali-linux,Kali Linux,technical,kali linux|pen testing os,Use the standard OS for penetration testing.,Medium
skill-metasploit,Metasploit,technical,metasploit|exploit framework,Develop and execute exploit code.,Medium
skill-burp-suite,Burp Suite,technical,burp suite|web sec,Test web application security.,Medium
skill-nmap,Nmap,technical,nmap|network scanner,Discover hosts and services on a network.,Medium
skill-wireshark,Wireshark,technical,wireshark|packet analyzer,Analyze network traffic in real-time.,Medium
skill-owasp-top-10,OWASP Top 10,technical,owasp|web vulnerabilities,Understand top 10 web security risks.,Medium
skill-firewalls,Firewalls,technical,firewalls|network defense,Configure rules to block malicious traffic.,Medium
skill-siem,SIEM,technical,siem|security logs,Monitor and analyze security alerts.,Medium
skill-ui-design,UI Design,technical,ui design|user interface,Design visual elements of an application.,High
skill-ux-design,UX Design,technical,ux design|user experience|user experience design|ui/ux design|ux research,Design user flows and experiences.,High
skill-wireframing,Wireframing,technical,wireframing|mockups,Create low-fidelity blueprints of interface.,High
skill-prototyping,Prototyping,technical,prototyping|interactive mockups,Create high-fidelity interactive models.,High
skill-design-thinking,Design Thinking,technical,design thinking|user centric,Solve problems with a user-centric approach.,High
skill-figma,Figma,technical,figma|ui tool,Collaborate on interface design in real-time.,Medium
skill-adobe-xd,Adobe XD,technical,adobe xd,Design and prototype user experiences.,Medium
skill-sketch,Sketch,technical,sketch|mac design,Digital design toolkit for macOS.,Medium
skill-canva,Canva,technical,canva,Create quick graphic designs.,Medium
skill-photoshop,Photoshop,technical,photoshop|image editing,Edit and manipulate raster images.,Medium
skill-illustrator,Illustrator,technical,illustrator|vector graphics,Create vector art and illustrations.,Medium
skill-communication,Communication,soft,communication|verbal|written,Convey ideas clearly and listen actively.,High
skill-teamwork,Teamwork,soft,teamwork|collaboration,Work effectively with others towards a goal.,High
skill-leadership,Leadership,soft,leadership|mentoring,Inspire and guide team members.,High
skill-problem-solving,Problem Solving,soft,problem solving|analytical,Analyze issues and find effective solutions.,High
skill-critical-thinking,Critical Thinking,soft,critical thinking|analysis,Evaluate information objectively.,High
skill-adaptability,Adaptability,soft,adaptability|flexibility,Adjust quickly to new situations and changes.,High
skill-time-management,Time Management,soft,time management|prioritization,Organize and plan time effectively.,High
skill-creativity,Creativity,soft,creativity|innovation,Think outside the box to generate new ideas.,High
skill-public-speaking,Public Speaking,soft,public speaking|presentation,Speak confidently in front of an audience.,High
skill-decision-making,Decision Making,soft,decision making|judgment,Make informed and timely choices.,High
skill-conflict-resolution,Conflict Resolution,soft,conflict resolution|mediation,Resolve disagreements constructively.,High
skill-negotiation,Negotiation,soft,negotiation|persuasion,Reach beneficial agreements.,High
skill-emotional-intelligence,Emotional Intelligence,soft,emotional intelligence|eq,Manage your own and others' emotions.,High
skill-collaboration,Collaboration,soft,collaboration,Work consistently well with others.,High
skill-mentoring,Mentoring,soft,mentoring|coaching,Guide and support less experienced colleagues.,High
skill-coaching,Coaching,soft,coaching,Unlock potential in others.,High
skill-presentation-skills,Presentation Skills,soft,presentation skills,Deliver engaging and clear presentations.,High
skill-stakeholder-management,Stakeholder Management,soft,stakeholder management,Manage expectations of interested parties.,High
skill-client-communication,Client Communication,soft,client communication,Interact professionally with clients.,High
skill-work-ethic,Work Ethic,soft,work ethic|discipline,Demonstrate reliability and dedication.,High
skill-self-learning,Self Learning,soft,self learning|continuous learning,Proactively learn new skills.,High
skill-accountability,Accountability,soft,accountability|ownership,Take responsibility for your actions and results.,High
skill-crud,CRUD Operations,technical,crud|create read update delete,Master database operations (Create, Read, Update, Delete). Build robust APIs that handle data persistence.,High
skill-api-dev,API Development,technical,api development|restful apis|backend apis,Design and build scalable REST or GraphQL APIs. Use tools like Swagger for documentation.,High
skill-software-arch,Software Architecture,technical,software architecture|system design,Understand architectural patterns like Microservices, Monolithic, and Event-Driven.,High
skill-pinecone,Pinecone,technical,pinecone|rag|semantic search|vector database,Master vector databases for RAG and semantic search.,Medium
skill-flowise,Flowise,technical,flowise|llm orchestration,Build LLM-powered applications with low-code orchestration.,Medium
